S. No.,Name of State,Total No of Projects Sanctioned since 2009,Funds released (Central Share) - 2015-16(up to 31.10.2015),Funds released (Central Share) - Total funds released (from 2009-10 to
1,Andhra Pradesh,432,86.73,605.02
2,Bihar,123,5,57.07
3,Chhattisgarh,263,20,182.44
4,Goa,0,0,0
5,Gujarat,610,100,934.25
6,Haryana,88,0,58.03
7,Himachal Pradesh,163,20,197.31
8,Jammu & Kashmir,159,0,89.7
9,Jharkhand,171,20,145.01
10,Karnataka,571,125,1450.46
11,Kerala,83,20,61.79
12,Madhya Pradesh,517,150,983.18
13,Maharashtra,1186,250,1784.46
14,Odisha,310,67.5,715.67
15,Punjab,67,7.953,52.46
16,Rajasthan,1025,200,1673.33
17,Tamil Nadu,270,75,689.24
18,Telangana,330,70,459.38
19,Uttar Pradesh,612,75,686.18
20,Uttarakhand,65,25.677,97.98
21,West Bengal,163,10,92.22
22,Arunachal,156,18,192.42
23,Assam,372,0,277.44
24,Manipur,102,9,109.83
25,Meghalaya,96,18,145.83
26,Mizoram,89,0,189.47
27,Nagaland,111,27,367.87
28,Sikkim,15,6.3,20.68
29,Tripura,65,13.5,133.15
Grand Total,Grand Total,8214,1419.66,12451.86
